attribute,K,N,K_tokens,N_tokens,TCR,TCR_pct,governed_wins
analytics,1763,100,41411,2396,-16.2834,-1628.3,False
analytics,1763,500,41411,11275,-2.6728,-267.3,False
analytics,1763,1000,41411,23235,-0.7823,-78.2,False
analytics,1763,2000,41411,45624,0.0923,9.2,True
analytics,1763,5000,41411,115158,0.6404,64.0,True
analytics,1763,10000,41411,227295,0.8178,81.8,True
crm,688,100,14091,2329,-5.0502,-505.0,False
crm,688,500,14091,11104,-0.269,-26.9,False
crm,688,1000,14091,22851,0.3834,38.3,True
crm,688,2000,14091,44500,0.6833,68.3,True
crm,688,5000,14091,113966,0.8764,87.6,True
crm,688,10000,14091,227823,0.9381,93.8,True
developer,758,100,16107,2327,-5.9218,-592.2,False
developer,758,500,16107,11510,-0.3994,-39.9,False
developer,758,1000,16107,23396,0.3115,31.2,True
developer,758,2000,16107,45357,0.6449,64.5,True
developer,758,5000,16107,114324,0.8591,85.9,True
developer,758,10000,16107,228110,0.9294,92.9,True
entertainment,2006,100,47890,2236,-20.4177,-2041.8,False
entertainment,2006,500,47890,11421,-3.1932,-319.3,False
entertainment,2006,1000,47890,22588,-1.1202,-112.0,False
entertainment,2006,2000,47890,45357,-0.0558,-5.6,False
entertainment,2006,5000,47890,114025,0.58,58.0,True
entertainment,2006,10000,47890,227869,0.7898,79.0,True
health,301,100,7467,2006,-2.7223,-272.2,False
health,301,500,7467,11494,0.3504,35.0,True
health,301,1000,7467,22607,0.6697,67.0,True
health,301,2000,7467,44921,0.8338,83.4,True
health,301,5000,7467,114393,0.9347,93.5,True
health,301,10000,7467,227216,0.9671,96.7,True
identity,29,100,831,2270,0.6339,63.4,True
identity,29,500,831,11145,0.9254,92.5,True
identity,29,1000,831,22516,0.9631,96.3,True
identity,29,2000,831,45245,0.9816,98.2,True
identity,29,5000,831,114504,0.9927,99.3,True
identity,29,10000,831,228114,0.9964,99.6,True
iot,59,100,1377,2384,0.4224,42.2,True
iot,59,500,1377,11703,0.8823,88.2,True
iot,59,1000,1377,23352,0.941,94.1,True
iot,59,2000,1377,45049,0.9694,96.9,True
iot,59,5000,1377,114423,0.988,98.8,True
iot,59,10000,1377,227423,0.9939,99.4,True
messaging,919,100,17962,2468,-6.278,-627.8,False
messaging,919,500,17962,11439,-0.5702,-57.0,False
messaging,919,1000,17962,22956,0.2175,21.8,True
messaging,919,2000,17962,46081,0.6102,61.0,True
messaging,919,5000,17962,115109,0.844,84.4,True
messaging,919,10000,17962,227815,0.9212,92.1,True
news,942,100,17709,2544,-5.9611,-596.1,False
news,942,500,17709,11223,-0.5779,-57.8,False
news,942,1000,17709,22778,0.2225,22.3,True
news,942,2000,17709,45164,0.6079,60.8,True
news,942,5000,17709,112694,0.8429,84.3,True
news,942,10000,17709,227270,0.9221,92.2,True
payments,1541,100,36683,2240,-15.3763,-1537.6,False
payments,1541,500,36683,11556,-2.1744,-217.4,False
payments,1541,1000,36683,22939,-0.5992,-59.9,False
payments,1541,2000,36683,45489,0.1936,19.4,True
payments,1541,5000,36683,114274,0.679,67.9,True
payments,1541,10000,36683,227387,0.8387,83.9,True
storage,285,100,6091,2287,-1.6633,-166.3,False
storage,285,500,6091,11764,0.4822,48.2,True
storage,285,1000,6091,22678,0.7314,73.1,True
storage,285,2000,6091,46085,0.8678,86.8,True
storage,285,5000,6091,114733,0.9469,94.7,True
storage,285,10000,6091,227568,0.9732,97.3,True
travel,1056,100,27852,2347,-10.8671,-1086.7,False
travel,1056,500,27852,11718,-1.3769,-137.7,False
travel,1056,1000,27852,23242,-0.1983,-19.8,False
travel,1056,2000,27852,45177,0.3835,38.3,True
travel,1056,5000,27852,113420,0.7544,75.4,True
travel,1056,10000,27852,227257,0.8774,87.7,True
